Owner name,Agency name,Email,Address,Telephone,Telephone 2,Thumbnail image URL
"Mr. Rafiquzzaman Khan, Proprietor",Rafique Enterprise Travel Agent,rafiquekhan.bangladesh@gmail.com,"04, Sahid Syed Nazrul Islam Sarani (3rd Floor), 89 Bijoy Nagar, Dhaka 1000",['01511444440'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1/OwnerPhoto_Rafique enterprise 195.jpg
"Mr. Mohmmed Abul Kalam, Proprietor",A M S Aviation,amsaviation70@gmail.com,"31, DIT Extension Road Rafatun Mansion (4th Floor) Fakirapool",01711023351, 01611023351,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_11/OwnerPhoto_AMS aviation 179.jpg
"Mr.Md.Saidur Rahman (Sadek), Proprietor",S. K. S. Air International,sksair_international@yahoo.com,"Alijatower (3rd Floor)  110, Fakirapool, Dhaka",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_12/OwnerPhoto_A Matribhumi Travels International.png
"Mr. Mollah Md. Malek, Proprietor",A Paradise Holiday,info@aparadiseholiday.com,"31, Tejkuni Para, Malek tower (8th Floor)",01722716916, 01753756874,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_13/OwnerPhoto_2.jpg
"Mr. Advocate Md. Ibrahim, Proprietor",A to Z Tours & Travels,ibrahimatoz2021@yahoo.com,"Akmol Manshion, Kakrail Super Market(1st floor,suite #134)",+8801710262610, 01555026678,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_36895/1713678509064-724987407.jpg
"Mr. M.A.Ahmed, Proprietor",A. J. Air International,ahmed01bd@yahoo.com,Aziz Co-Operative Market (4th floor) 204,['8801711074914'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_15/OwnerPhoto_A. J. Air International.jpg
"Mr. Mohammad Abul Kalam Azad, Proprietor",A. K INTERNATIONAL,ak.internationaldhk@yahoo.com,"HOUSE # 07 (3rd FLOOR), ROAD# 20",['01713043765'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_16/OwnerPhoto_A. K International.jpg
"Mr. Md. Arab Ali Majumder, Proprietor",Delete 1234,arab.majumder@gmail.com,"Eastern View  50, DIT Extension Road Naya paltan, (11 Floor, Room 11/4-9) , Dhaka-1000",['01819 242760'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_17/OwnerPhoto_A. M. Travel Agent.png
"Mr. Paresh Chandra paul, Proprietor",Delete 40,demo-6c92344c-70b6-4acf-9d91-4de18a9a38d3@gmail.com,,[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_36904/1713684661898-974344466.jpg
"Mr. Abdur Razzak, Proprietor",Ayon Tours & Travels,alamgir996@yahoo.com,"28/1/C, Toyenbee Circular Road, Rahmania International Complex (4th Floor), Dhaka-1000.",['01712169960'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Mohammed Rubel, Managing Partner",A. R. Tours & Travels,artravelsbd@gmail.com,"89, Kakrail, Green City Edge, (2nd Floor), Dhaka-1000.  *",01720208291, 01816171449,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Abdour Rahaman Santu	, Proprietor",A. Rahman Tours & Travels,a_rahman_travels@live.com,"House no. 2, Block-G, Main Road, South Banasree (5th Floor), Khilgaon, Dhaka.",['01711 819188'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Abul Kalam Chowdhury, Managing Director",A.K Chowdhury Tours & Travels,chowdhury1831@gmail.com,"Ruhama Tower (4th Floor), 50, Purana Paltan, Dhaka – 1000",['01716721831'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_22/OwnerPhoto_a k chowdhury travels155.jpg
"Mr. Md. Abdul Quddus Shibli , Managing Director",A.K. Tours & Travels,aktoursandtravels@yahoo.com,"Prio Kanan (1st Floor), 112, TB Clinic Road, Jessor",01819-232067, 01711828850,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_23/OwnerPhoto_A.K. Tours & Travels.jpg
"Mr. Md Anwar Hossain, Proprietor",A.R. International Travel Agent,a.r.international2008@gmail.com,"G-Net Tower(2nd Floor), Suite –E/2, 116-117 DIT Exten Road",01715023651, 0197702365,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Mohammed Anisur Rahman, Proprietor",A. R. Travels (Sylhet),artravels42@gmail.com,"B-7, Samad Mansion (1st Floor) Upashahar, Mendibag, Sylhet",['01711347977'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Muhmud Kabir Khan Chowdhury, Executive Director",A.T.M. Travels & Tours Ltd,demo-e89240c4-08a1-474a-a69e-821e576bc106@gmail.com,"Sattara Centre (Hotel Victory,9th Floor) 30/A, Nayapaltan",['+8801711 639282'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Chaite Ghosh, Director Marketing & Business Development",Aamar Tour Limited,kotha@aamartour.com,"Richmond Concord (2nd Floor), Plot-8/A, Block-CES (F), 68 Gulshan Avenue, Gulshan-1, Dhaka-1212",['+8801713387522'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_27/OwnerPhoto_Aamar Tour Limited.jpg
"MR. ANAMUL HAQUE, Ceo",AB ENTRERPRISE TOURS & TRAVELS,abenterprise092@gmail.com,"SUIT # 7th FLOOR, ROOM # 7/20, EASTERN PLUS COMPLEX",01911521131, 01676572221,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_28/OwnerPhoto_AB ENTRERPRISE TOURS & TRAVELS.jpg
"Badal Debnath Narad, Proprietor",AB1 Travels & Tours,ab1travels2020@gmail.com,"110 Fokirapool, Alizatower (1st Floor), Motijheel, Dhaka – 1000",['01611111105'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_29/OwnerPhoto_AB1 Travels & Tours.jpg
"Mr. M. A. Malek , Chairman",Ababil International Hajj Tours & Travels Ltd,ababilhajj.travels@gmail.com,"A.R Mollik Tower (2nd Floor), 12/1,",['01913308844'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
